connector,flow,sub_flow,code,message,status,router_error,decision,created_at,last_modified,step_up_possible,unified_code,unified_message,error_category,clear_pan_possible,feature_data,feature,standardised_code,description,user_guidance_message
adyen,Authorize,sub_flow,41,CVM Required Restart Payment,Failure,,do_default,2024-12-24 12:13:33,2025-10-31 17:03:38,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_002,Required field <strong>FIELD_NAME</strong> missing for device channel <strong>DEVICE_CHANNEL_NAME</strong>,Failure,,retry,2024-12-12 18:19:39,2025-10-31 17:04:41,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,14_016,Invalid sdkVersion provided,failure,,retry,2024-12-12 18:19:30,2025-12-08 19:38:15,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_018,colorDepth must be 1 4	8	15	16	24	32 or 48 bit,Failure,,retry,2024-12-12 18:19:42,2025-10-31 16:52:42,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,14_034,The provided fingerprint is invalid. Field affected: <strong>FIELD_NAME</strong>,Failure,,retry,2024-12-12 18:18:44,2025-10-31 17:04:34,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_003,Field <strong>FIELD_NAME</strong> should not be present for device channel <strong>DEVICE_CHANNEL_NAME</strong>,Failure,,retry,2024-12-12 18:19:39,2025-10-31 17:04:41,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_024,Result not present Authentication older than 60 days,Failure,,retry,2024-12-12 18:18:49,2025-10-31 17:04:47,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,142,Bank Name or Bank Location not valid or missing,failure,,retry,2024-12-12 18:19:00,2025-12-08 19:38:08,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_004,Invalid value in field <strong>FIELD_NAME</strong>,Failure,,retry,2024-12-12 18:19:40,2025-10-31 17:04:41,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_007,Value of <strong>FIELD_NAME</strong> is too long (<strong>VALUE</strong> &gt; <strong>MAX_ALLOWED_VALUE</strong>),Failure,,retry,2024-12-12 18:19:41,2025-10-31 17:04:42,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_023,threeDS2RequestData is not supported for threeDS2InMDFlow,Failure,,retry,2024-12-12 18:19:44,2025-10-31 17:04:47,false,UE_9000,Something went wrong,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,5_202,Invalid PayWithGoogle token,Failure,,retry,2024-12-12 18:18:20,2025-10-31 17:04:52,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_005,Unexpected field <strong>FIELD_NAME</strong>,Failure,,retry,2024-12-12 18:19:40,2025-10-31 17:04:42,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,905_5,No acquirer account active and configured for Klarna.,Failure,,retry,2024-12-12 18:18:04,2025-10-31 17:05:03,false,UE_2000,Issue with Configurations,processor_decline_unauthorized,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,213,Required field 'socialSecurityNumber' is not provided.,failure,,retry,2024-12-12 18:19:15,2025-12-08 19:38:11,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,5_001,ApplePay token amount-mismatch,Failure,,retry,2024-12-12 18:17:59,2025-10-31 17:04:49,false,UE_4000,Issue with Integration,processor_decline_incorrect_data,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_010,Invalid deviceChannel value. Must be 'app' 'browser' or 'TRI'.,Failure,,retry,2024-12-12 18:19:41,2025-10-31 17:04:43,false,UE_2000,Issue with Configurations,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_013,Cannot add 3DS2 authentication values because addRawThreeDSecureDetailsResult is not enabled,Failure,,retry,2024-12-12 18:18:48,2025-10-31 17:04:44,false,UE_2000,Issue with Configurations,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
adyen,Authorize,sub_flow,15_016,Language must be a valid tag according to IETF BCP47 definition,Failure,,retry,2024-12-12 18:19:42,2025-10-31 17:04:45,false,UE_4000,Issue with Integration,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,,,
